Date,Close
2016/12/30,"9,253.50"
2016/12/29,"9,153.09"
2016/12/28,"9,201.40"
2016/12/27,"9,109.27"
2016/12/26,"9,110.54"
2016/12/23,"9,078.64"
2016/12/22,"9,118.75"
2016/12/21,"9,204.26"
2016/12/20,"9,242.41"
2016/12/19,"9,239.32"
2016/12/16,"9,326.78"
2016/12/15,"9,360.35"
2016/12/14,"9,368.52"
2016/12/13,"9,382.14"
2016/12/12,"9,349.94"
2016/12/9,"9,392.68"
2016/12/8,"9,375.86"
2016/12/7,"9,263.89"
2016/12/6,"9,250.77"
2016/12/5,"9,160.66"
2016/12/2,"9,189.49"
2016/12/1,"9,263.53"
2016/11/30,"9,240.71"
2016/11/29,"9,192.38"
2016/11/28,"9,222.24"
2016/11/25,"9,159.07"
2016/11/24,"9,152.11"
2016/11/23,"9,178.23"
2016/11/22,"9,133.39"
2016/11/21,"9,041.11"
2016/11/18,"9,008.79"
2016/11/17,"8,995.26"
2016/11/16,"8,962.22"
2016/11/15,"8,931.03"
2016/11/14,"8,940.40"
2016/11/11,"8,957.76"
2016/11/10,"9,152.18"
2016/11/9,"8,943.20"
2016/11/8,"9,217.43"
2016/11/7,"9,189.84"
2016/11/4,"9,068.15"
2016/11/3,"9,067.27"
2016/11/2,"9,139.04"
2016/11/1,"9,272.70"
2016/10/31,"9,290.12"
2016/10/28,"9,306.92"
2016/10/27,"9,299.55"
2016/10/26,"9,362.25"
2016/10/25,"9,385.65"
2016/10/24,"9,322.50"
2016/10/21,"9,306.57"
2016/10/20,"9,317.24"
2016/10/19,"9,283.99"
2016/10/18,"9,222.58"
2016/10/17,"9,176.22"
2016/10/14,"9,165.17"
2016/10/13,"9,219.17"
2016/10/12,"9,252.60"
2016/10/11,"9,219.82"
2016/10/7,"9,265.81"
2016/10/6,"9,284.31"
2016/10/5,"9,272.28"
2016/10/4,"9,287.77"
2016/10/3,"9,234.20"
2016/9/30,"9,166.85"
2016/9/29,"9,270.90"
2016/9/26,"9,194.52"
2016/9/23,"9,284.62"
2016/9/22,"9,235.26"
2016/9/21,"9,228.50"
2016/9/20,"9,161.58"
2016/9/19,"9,152.88"
2016/9/14,"8,902.30"
2016/9/13,"8,940.83"
2016/9/12,"8,947.06"
2016/9/10,"9,053.69"
2016/9/9,"9,164.88"
2016/9/8,"9,262.89"
2016/9/7,"9,259.07"
2016/9/6,"9,181.85"
2016/9/5,"9,090.13"
2016/9/2,"8,987.55"
2016/9/1,"9,001.15"
2016/8/31,"9,068.85"
2016/8/30,"9,110.56"
2016/8/29,"9,110.17"
2016/8/26,"9,131.72"
2016/8/25,"9,115.47"
2016/8/24,"9,017.38"
2016/8/23,"9,030.93"
2016/8/22,"8,981.81"
2016/8/19,"9,034.27"
2016/8/18,"9,122.50"
2016/8/17,"9,117.70"
2016/8/16,"9,110.36"
2016/8/15,"9,148.51"
2016/8/12,"9,150.39"
2016/8/11,"9,131.83"
2016/8/10,"9,200.42"
2016/8/9,"9,155.08"
2016/8/8,"9,150.26"
2016/8/5,"9,092.12"
2016/8/4,"9,024.71"
2016/8/3,"9,001.71"
2016/8/2,"9,068.76"
2016/8/1,"9,080.71"
2016/7/29,"8,984.41"
2016/7/28,"9,076.64"
2016/7/27,"9,063.39"
2016/7/26,"9,024.79"
2016/7/25,"8,991.67"
2016/7/22,"9,013.14"
2016/7/21,"9,056.56"
2016/7/20,"9,007.68"
2016/7/19,"9,034.87"
2016/7/18,"9,008.21"
2016/7/15,"8,949.85"
2016/7/14,"8,866.36"
2016/7/13,"8,857.75"
2016/7/12,"8,841.46"
2016/7/11,"8,786.47"
2016/7/7,"8,640.91"
2016/7/6,"8,575.75"
2016/7/5,"8,716.07"
2016/7/4,"8,760.58"
2016/7/1,"8,738.24"
2016/6/30,"8,666.58"
2016/6/29,"8,586.56"
2016/6/28,"8,505.51"
2016/6/27,"8,458.87"
2016/6/24,"8,476.99"
2016/6/23,"8,676.68"
2016/6/22,"8,716.25"
2016/6/21,"8,684.85"
2016/6/20,"8,625.92"
2016/6/17,"8,568.08"
2016/6/16,"8,494.14"
2016/6/15,"8,606.37"
2016/6/14,"8,576.12"
2016/6/13,"8,536.22"
2016/6/8,"8,715.48"
2016/6/7,"8,679.90"
2016/6/6,"8,597.11"
2016/6/4,"8,591.57"
2016/6/3,"8,587.36"
2016/6/2,"8,556.02"
2016/6/1,"8,597.16"
2016/5/31,"8,535.59"
2016/5/30,"8,535.87"
2016/5/27,"8,463.61"
2016/5/26,"8,394.12"
2016/5/25,"8,396.20"
2016/5/24,"8,300.66"
2016/5/23,"8,344.44"
2016/5/20,"8,131.26"
2016/5/19,"8,095.98"
2016/5/18,"8,159.68"
2016/5/17,"8,140.48"
2016/5/16,"8,067.60"
2016/5/13,"8,053.69"
2016/5/12,"8,108.05"
2016/5/11,"8,135.56"
2016/5/10,"8,156.29"
2016/5/9,"8,131.83"
2016/5/6,"8,146.43"
2016/5/5,"8,167.96"
2016/5/4,"8,185.47"
2016/5/3,"8,294.12"
2016/4/29,"8,377.90"
2016/4/28,"8,473.87"
2016/4/27,"8,563.05"
2016/4/26,"8,581.57"
2016/4/25,"8,560.28"
2016/4/22,"8,535.75"
2016/4/21,"8,568.65"
2016/4/20,"8,514.48"
2016/4/19,"8,633.72"
2016/4/18,"8,666.01"
2016/4/15,"8,700.39"
2016/4/14,"8,667.71"
2016/4/13,"8,652.08"
2016/4/12,"8,531.18"
2016/4/11,"8,562.59"
2016/4/8,"8,541.50"
2016/4/7,"8,490.25"
2016/4/6,"8,513.30"
2016/4/1,"8,657.55"
2016/3/31,"8,744.83"
2016/3/30,"8,737.04"
2016/3/29,"8,617.35"
2016/3/28,"8,690.45"
2016/3/25,"8,704.97"
2016/3/24,"8,743.38"
2016/3/23,"8,766.09"
2016/3/22,"8,785.68"
2016/3/21,"8,812.70"
2016/3/18,"8,810.71"
2016/3/17,"8,734.54"
2016/3/16,"8,699.14"
2016/3/15,"8,611.18"
2016/3/14,"8,747.90"
2016/3/11,"8,706.14"
2016/3/10,"8,660.70"
2016/3/9,"8,634.11"
2016/3/8,"8,664.31"
2016/3/7,"8,659.55"
2016/3/4,"8,643.55"
2016/3/3,"8,611.79"
2016/3/2,"8,544.05"
2016/3/1,"8,485.69"
2016/2/26,"8,411.16"
2016/2/25,"8,365.86"
2016/2/24,"8,282.86"
2016/2/23,"8,334.64"
2016/2/22,"8,326.68"
2016/2/19,"8,325.04"
2016/2/18,"8,314.67"
2016/2/17,"8,214.25"
2016/2/16,"8,212.07"
2016/2/15,"8,066.51"
2016/2/3,"8,063.00"
2016/2/2,"8,131.24"
2016/2/1,"8,156.96"
2016/1/30,"8,145.21"
2016/1/29,"8,080.60"
2016/1/28,"7,905.10"
2016/1/27,"7,849.83"
2016/1/26,"7,828.67"
2016/1/25,"7,894.15"
2016/1/22,"7,756.18"
2016/1/21,"7,664.01"
2016/1/20,"7,699.12"
2016/1/19,"7,854.88"
2016/1/18,"7,811.18"
2016/1/15,"7,762.01"
2016/1/14,"7,742.88"
2016/1/13,"7,824.61"
2016/1/12,"7,768.45"
2016/1/11,"7,788.42"
2016/1/8,"7,893.97"
2016/1/7,"7,852.06"
2016/1/6,"7,990.39"
2016/1/5,"8,075.11"
2016/1/4,"8,114.26"
2015/12/31,"8,338.06"
2015/12/30,"8,279.99"
2015/12/29,"8,293.91"
2015/12/28,"8,358.49"
2015/12/25,"8,363.28"
2015/12/24,"8,324.36"
2015/12/23,"8,315.70"
2015/12/22,"8,292.74"
2015/12/21,"8,282.17"
2015/12/18,"8,257.32"
2015/12/17,"8,319.67"
2015/12/16,"8,184.66"
2015/12/15,"8,073.35"
2015/12/14,"8,040.16"
2015/12/11,"8,115.89"
2015/12/10,"8,216.17"
2015/12/9,"8,229.62"
2015/12/8,"8,343.86"
2015/12/7,"8,454.27"
2015/12/4,"8,398.60"
2015/12/3,"8,456.06"
2015/12/2,"8,457.40"
2015/12/1,"8,463.30"
2015/11/30,"8,320.61"
2015/11/27,"8,398.40"
2015/11/26,"8,484.90"
2015/11/25,"8,386.13"
2015/11/24,"8,400.14"
2015/11/23,"8,485.73"
