Date,2330,2317,2412,1301,1303,1326,2454,2308,2882,2881,MA12_2330,MA26_2330,DIF_2330,MACD_2330,buff_2330,signal_2330,MA12_2317,MA26_2317,DIF_2317,MACD_2317,buff_2317,signal_2317,MA12_2412,MA26_2412,DIF_2412,MACD_2412,buff_2412,signal_2412,MA12_1301,MA26_1301,DIF_1301,MACD_1301,buff_1301,signal_1301,MA12_1303,MA26_1303,DIF_1303,MACD_1303,buff_1303,signal_1303,MA12_1326,MA26_1326,DIF_1326,MACD_1326,buff_1326,signal_1326,MA12_2454,MA26_2454,DIF_2454,MACD_2454,buff_2454,signal_2454,MA12_2308,MA26_2308,DIF_2308,MACD_2308,buff_2308,signal_2308,MA12_2882,MA26_2882,DIF_2882,MACD_2882,buff_2882,signal_2882,MA12_2881,MA26_2881,DIF_2881,MACD_2881,buff_2881,signal_2881
2011-12-07,76.4,89.43019,101.5,85.0,59.0,81.0,263.5,64.9066,31.6939,31.9,74.52499999999999,,nan,,0.0,,87.03771916666669,,nan,,0.0,,100.35000000000001,,nan,,0.0,,81.13332500000001,,nan,,0.0,,56.92499999999999,,nan,,0.0,,78.75835000000002,,nan,,0.0,,278.7916666666667,,nan,,0.0,,65.51309166666667,,nan,,0.0,,31.130058333333327,,nan,,0.0,,31.337483333333335,,nan,,0.0,
2011-12-08,76.3,89.76015,101.5,85.0,59.2,81.2,257.0,64.8069,31.1466,31.4,74.71666666666665,,nan,,0.0,,87.40438166666668,,nan,,0.0,,100.43333333333334,,nan,,0.0,,81.62499166666667,,nan,,0.0,,56.916666666666664,,nan,,0.0,,78.97501666666668,,nan,,0.0,,276.125,,nan,,0.0,,65.35523333333335,,nan,,0.0,,31.179816666666657,,nan,,0.0,,31.387483333333332,,nan,,0.0,
2011-12-09,74.1,87.67021,101.0,85.0,57.0999,81.0,260.0,64.109,31.0968,30.95,74.77499999999999,,nan,,0.0,,87.81687916666668,,nan,,0.0,,100.51666666666667,,nan,,0.0,,82.14999166666668,,nan,,0.0,,56.999991666666666,,nan,,0.0,,79.28334166666669,,nan,,0.0,,274.125,,nan,,0.0,,65.36355000000002,,nan,,0.0,,31.300049999999988,,nan,,0.0,,31.441649999999996,,nan,,0.0,
2011-12-12,75.0,90.09026,101.5,85.6,58.8,81.5,261.0,64.8069,31.0471,30.9,74.95833333333333,,nan,,0.0,,88.357715,,nan,,0.0,,100.60000000000001,,nan,,0.0,,82.63332500000001,,nan,,0.0,,57.033325,,nan,,0.0,,79.53334166666669,,nan,,0.0,,273.0833333333333,,nan,,0.0,,65.29708333333335,,nan,,0.0,,31.304191666666657,,nan,,0.0,,31.420816666666664,,nan,,0.0,
2011-12-13,75.2,89.65026999999998,101.0,84.9,58.9,80.1,269.0,64.0092,30.4501,30.3,75.25833333333334,,nan,,0.0,,88.88938166666667,,nan,,0.0,,100.72500000000001,,nan,,0.0,,83.18332500000002,,nan,,0.0,,57.29999166666666,,nan,,0.0,,79.85834166666667,,nan,,0.0,,272.7083333333333,,nan,,0.0,,65.06444166666668,,nan,,0.0,,31.304191666666657,,nan,,0.0,,31.408316666666664,,nan,,0.0,
2011-12-14,74.5,90.09026,101.0,85.2,58.7,81.0,267.5,64.9066,30.4501,30.4,75.33333333333333,,nan,,0.0,,89.25605666666667,,nan,,0.0,,100.80833333333334,,nan,,0.0,,83.56665833333336,,nan,,0.0,,57.54165833333334,,nan,,0.0,,80.16666666666667,,nan,,0.0,,271.5833333333333,,nan,,0.0,,64.85673333333335,,nan,,0.0,,31.237858333333325,,nan,,0.0,,31.358316666666664,,nan,,0.0,
2011-12-15,72.5,86.68019,100.0,82.6,56.5,80.5,256.5,63.8098,29.654,29.9,75.24166666666666,,nan,,0.0,,89.21022083333334,,nan,,0.0,,100.84166666666668,,nan,,0.0,,83.65832500000003,,nan,,0.0,,57.558325,,nan,,0.0,,80.39999999999999,,nan,,0.0,,269.4166666666667,,nan,,0.0,,64.52438333333335,,nan,,0.0,,31.096883333333324,,nan,,0.0,,31.229149999999994,,nan,,0.0,
2011-12-16,72.7,88.00017,100.5,82.9,55.5,80.5,255.0,64.2087,29.654,29.5,75.08333333333333,,nan,,0.0,,89.23771750000002,,nan,,0.0,,100.91666666666669,,nan,,0.0,,83.9499916666667,,nan,,0.0,,57.583325,,nan,,0.0,,80.65833333333333,,nan,,0.0,,267.375,,nan,,0.0,,64.47453333333335,,nan,,0.0,,31.038833333333326,,nan,,0.0,,31.154149999999998,,nan,,0.0,
2011-12-19,72.5,85.58028,100.5,83.4,54.9,80.5,243.5,63.3113,28.1613,28.1,74.74166666666666,,nan,,0.0,,88.77938333333333,,nan,,0.0,,100.83333333333336,,nan,,0.0,,84.0499916666667,,nan,,0.0,,57.341658333333335,,nan,,0.0,,80.60000000000001,,nan,,0.0,,263.7083333333333,,nan,,0.0,,64.23358333333334,,nan,,0.0,,30.682249999999993,,nan,,0.0,,30.787491666666664,,nan,,0.0,
2011-12-20,72.8,85.8002,101.0,81.8,54.3,79.6,251.0,64.109,27.8628,28.0,74.475,,nan,,0.0,,88.43104749999998,,nan,,0.0,,100.83333333333336,,nan,,0.0,,83.9999916666667,,nan,,0.0,,57.19165833333333,,nan,,0.0,,80.46666666666665,,nan,,0.0,,260.5416666666667,,nan,,0.0,,64.26682500000001,,nan,,0.0,,30.342249999999993,,nan,,0.0,,30.412499999999994,,nan,,0.0,
